Sample;Species;Count;Comment;;;;;
31;Megarthrus depressus;2;;;;;;
31;Acrotrichis rugulosa;2;;;;;;
33;Deliphrum tectum;6;;;;;;
33;Sciodrepoides watsoni;7;;;;;;
33;Sciodrepoides fumatus;7;;;;;;
33;Autalia longicornis;2;;;;;;
33;Atheta cinnamoptera;4;;;;;;
33;Atheta aeneipennis;1;;;;;;
33;Atheta crassicornis/paracrassicornis;4;;;;;;
33;Atheta pilicornis;4;;;;;;
33;Atheta nesslingi;1;;;;;;
33;Bisnius puella;5;;;;;;
33;Philonthus succicola;1;;;;;;
33;Tachinus laticollis;2;;;;;;
33;Tachinus pallipes;6;;;;;;
33;Tachinus basalis;1;;;;;;
33;Tachinus proximus;1;;;;;;
33;Omalium rivulare;1;;;;;;
33;Omalium rugatum;1;;;;;;
33;Megarthrus depressus;7;;;;;;
18;Atheta cinnamoptera;4;tai 81 (62.30.13,5: 24.45.11,6);;;;;
18;Acrotona parvula;1;tai 81 (62.30.13,5: 24.45.11,6);;;;;
18;Atheta nesslingi;2;tai 81 (62.30.13,5: 24.45.11,6);;;;;
18;Bisnius puella;4;tai 81 (62.30.13,5: 24.45.11,6);;;;;
18;Philonthus varians;1;tai 81 (62.30.13,5: 24.45.11,6);;;;;
18;Cercyon lateralis;2;tai 81 (62.30.13,5: 24.45.11,6);;;;;
10;Deliphrum tectum;1;;;;;;
10;Atheta crassicornis/paracrassicornis;10;;;;;;
10;Atheta pilicornis;1;;;;;;
10;Atheta boleticola;20;;;;;;
10;Atheta aeneipennis;2;;;;;;
10;Atheta nigritula;3;;;;;;
10;Autalia longicornis;1;;;;;;
10;Omalium rivulare;3;;;;;;
10;Proteinus brachypterus;85;;;;;;
20;Deliphrum tectum;4;;;;;;
20;Atheta aeneipennis;12;;;;;;
20;Atheta parapicipennis;2;;;;;;
20;Tachinus proximus;13;;;;;;
20;Omalium rivulare;1;;;;;;
29;Deliphrum tectum;7;;;;;;
29;Atheta nesslingi;1;;;;;;
29;Atheta crassicornis/paracrassicornis;2;;;;;;
29;Atheta cinnamoptera;4;;;;;;
29;Tachinus laticollis;5;;;;;;
29;Tachinus pallipes;2;;;;;;
29;Philonthus politus;1;;;;;;
29;Platystethus arenarius;1;;;;;;
29;Megarthrus nitidulus;1;;;;;;
29;Omalium rivulare;4;;;;;;
17;Deliphrum tectum;2;;;;;;
17;Nargus velox;2;;;;;;
17;Atheta aeneipennis;41;;;;;;
17;Atheta picipennoides;6;;;;;;
17;Atheta euryptera;1;;;;;;
17;Atheta gagatina;1;;;;;;
17;Atheta celata;2;;;;;;
17;Aleochara moerens;3;;;;;;
17;Acrotrichis insularis;1;;;;;;
17;Platystethus arenarius;1;;;;;;
17;Megarthrus depressus;2;;;;;;
17;Megarthrus nitidulus;1;;;;;;
17;Proteinus brachypterus;6;;;;;;
17;Omalium rivulare;4;;;;;;
17;Tachinus proximus;5;;;;;;
17;Tachinus laticollis;10;;;;;;
28;Deliphrum tectum;22;;;;;;
28;Sciodrepoides watsoni;5;;;;;;
28;Nargus velox;1;;;;;;
28;Atheta picipennoides;3;;;;;;
28;Atheta crassicornis/paracrassicornis;4;;;;;;
28;Atheta gagatina;1;;;;;;
28;Atheta aeneipennis;1;;;;;;
28;Atheta subtilis;1;;;;;;
28;Autalia longicornis;1;;;;;;
28;Acrotrichis insularis;1;;;;;;
28;Omalium rivulare;7;;;;;;
28;Omalium rugatum;3;;;;;;
28;Megarthrus depressus;4;;;;;;
28;Catops coracinus;1;;;;;;
101;Tachinus laticollis;1; 3. 1/2;;;;;
101;Philonthus politus;1; 3. 1/2;;;;;
101;Acrotrichis insularis;1; 3. 1/2;;;;;
104;Autalia longicornis;1;1.;;;;;
104;Deliphrum tectum;1;1.;;;;;
104;Tachinus pallipes;4;1.;;;;;
104;Tachinus laticollis;2;1.;;;;;
100;Philonthus varians;7;;;;;;
100;Philonthus succicola;1;;;;;;
100;Philonthus albipes;3;;;;;;
100;Bisnius puella;2;;;;;;
100;Oxytelus laqueatus;1;;;;;;
100;Platystethus arenarius;1;;;;;;
100;Cercyon lateralis;1;;;;;;
100;Tachinus proximus;4;;;;;;
100;Tachinus laticollis;1;;;;;;
100;Aleochara moerens;3;;;;;;
100;Atheta nigripes;1;;;;;;
100;Liogluta micans;1;;;;;;
100;Cercyon impressus;7;;;;;;
102;EI KUORIAISIA;0; 2. 1/2;;;;;
103;Atheta aeneipennis;2;;;;;;
103;Atheta cinnamoptera;1;;;;;;
103;Acrotrichis cognata;1;;;;;;
103;Tachinus proximus;2;;;;;;
103;Tachinus pallipes;1;;;;;;
103;Tachinus laticollis;3;;;;;;
103;Bisnius puella;1;;;;;;
103;Megarthrus depressus;1;;;;;;
105;Deliphrum tectum;2; 3. 2/2;;;;;
105;Tachinus pallipes;2; 3. 2/2;;;;;
105;Tachinus laticollis;2; 3. 2/2;;;;;
105;Epuraea sp.;1; 3. 2/2;;;;;
95;Sciodrepoides watsoni;1;;;;;;
95;Deliphrum tectum;1;;;;;;
95;Atheta cinnamoptera;1;;;;;;
95;Omalium rugatum;1;;;;;;
95;Tachinus pallipes;3;;;;;;
95;Tachinus proximus;1;;;;;;
99;Autalia longicornis;9;;;;;;
99;Atheta subtilis;5;;;;;;
99;Omalium rivulare;1;;;;;;
99;Tachinus laticollis;2;;;;;;
99;Megarthrus nitidulus;1;;;;;;
99;Megarthrus depressus;1;;;;;;
107;Deliphrum tectum;1;;;;;;
107;Atheta aeneipennis;4;;;;;;
107;Atheta subtilis;3;;;;;;
107;Autalia longicornis;1;;;;;;
107;Cercyon impressus;1;;;;;;
107;Cercyon lateralis;6;;;;;;
107;Tachinus proximus;5;;;;;;
107;Tachinus pallipes;2;;;;;;
107;Tachinus laticollis;1;;;;;;
107;Bisnius puella;6;;;;;;
108;Sciodrepoides watsoni;1;;;;;;
108;Atheta euryptera;1;;;;;;
108;Atheta aeneipennis;1;;;;;;
108;Atheta subtilis;1;;;;;;
108;Cercyon impressus;1;;;;;;
108;Megarthrus depressus;1;;;;;;
108;Tachinus proximus;4;;;;;;
91;Nicrophorus vespilloides;1;;;;;;
91;Sciodrepoides watsoni;2;;;;;;
91;Sciodrepoides fumatus;7;;;;;;
91;Atheta crassicornis/paracrassicornis;1;;;;;;
91;Atheta gagatina;1;;;;;;
91;Atheta cinnamoptera;2;;;;;;
91;Atheta cribripennis;1;;;;;;
91;Tachinus pallipes;2;;;;;;
91;Tachinus basalis;1;;;;;;
91;Megarthrus depressus;1;;;;;;
96;Bisnius puella;1;;;;;;
96;Tachinus pallipes;3;;;;;;
96;Tachinus proximus;1;;;;;;
106;Tachinus proximus;1;;;;;;
98;Tachinus laticollis;1; 2. 2/2;;;;;
98;Atheta subtilis;1; 2. 2/2;;;;;
109;Atheta euryptera;1;;;;;;
109;Acrotona parvula;1;;;;;;
109;Atheta excellens;1;;;;;;
109;Aleochara moerens;1;;;;;;
109;Philonthus varians;7;;;;;;
109;Bisnius nigriventris;1;;;;;;
109;Philonthus politus;2;;;;;;
109;Tachinus pallipes;1;;;;;;
109;Cercyon lateralis;1;;;;;;
97;Atheta nigricornis;1; 1/2;;;;;
94;Deliphrum tectum;2;;;;;;
94;Autalia longicornis;1;;;;;;
94;Aleochara moerens;1;;;;;;
94;Atheta subtilis;4;;;;;;
94;Atheta aeneipennis;1;;;;;;
94;Atheta allocera;1;;;;;;
94;Acrotrichis rugulosa;1;;;;;;
94;Cercyon lateralis;1;;;;;;
94;Platystethus arenarius;1;;;;;;
94;Omalium rivulare;2;;;;;;
94;Megarthrus nitidulus;2;;;;;;
94;Tachinus proximus;4;;;;;;
94;Tachinus pallipes;3;;;;;;
94;Tachinus laticollis;1;;;;;;
94;Tachinus marginellus;1;;;;;;
93;Sciodrepoides fumatus;4;;;;;;
93;Sciodrepoides alpestris;1;;;;;;
93;Autalia longicornis;1;;;;;;
93;Tachinus pallipes;3;;;;;;
93;Tachinus laticollis;1;;;;;;
